Laptop Name,Laptop Weight,Ram Size,Hard Drive Size,Processor Speed,Processor Type,Screen Size,Processor Brand,Operating System,Memory Technology,Price
Dell,2.1,8,1,3.90,Core i5,15.6,Intel,Windows 10,DDR4 SDRAM,45500.00
Asus,4.54,8,512,2.10,Core i5,15.6,Intel,WINDOWS,DDR DRAM,54943.00
Lenovo,2.2,8,1024,4,Core i5 8300H,15.6,Intel,Windows 10 Home,DDR4,51595.00
Lenovo,1.77,8,1,2.10,Core i3,15.60,Intel,windows,GDDR4,39990.00
HP,2.37,8,256,1.60,Core i5,14,Intel,Windows 10 Home,DDR4,65464.00
Dell,1.7,4,1024,2.10,Core i3,14,Intel,Windows 10,DDR4 SDRAM,45960.00
Lenovo,1.55,8,1024,1.60,Core i5,14,Intel,Windows 10 Home,DDR4 SDRAM,51200.00
Asus,2.73,8,512,1.80,Core i7,15.6,Intel,WINDOWS,DDR DRAM,64490.00
Dell,2.97,8,1,3.90,Core i5,15.6,Intel,Windows 10,DDR4 SDRAM,51499.00
Dell,2.2,8,1024,3.40,Core i5 8250U,15.6,Intel,Windows 10,DDR SDRAM,60999.00
HP,1.67,4,256,2.30,Core i3 8130U,14,Intel,Windows 10 Home,DDR4 SDRAM,50650.00
Lenovo,2.2,4,1024,2.30,Core i3,15.6,Intel,Windows 10,DDR4,33700.00
