Laptop Name,Laptop Weight,Ram Size,Hard Drive Size,Processor Speed,Processor Type,Screen Size,Operating System,Memory Technology,Price
Dell,2.2,8,2,3.4,Core i5,15.6,Windows 10 With Office 2016,GDDR5,58999
Dell,4,4,1,2.4,Core i3,13.3,Windows 10,DDR3,34990
Dell,2.24,4,1024,2,Core i3,15.6,windows 10,DDR4 SDRAM,31699
Dell,2.2,4,1024,1.6,Core i5,15.6,Win 10,DDR4,51099
Dell,3.43,8,2048,3.1,Core i5 7200U,15.6,Windows 10 With Office 2016,DDR4 SDRAM,53499
Dell,6.82,4,1024,2.4,Core i3,19.5,Windows 10,DDR SDRAM,40990
Dell,3.1,8,1024,1.8,Core i7,15,Windows 10,DDR4 SDRAM,66570
Dell,2.5,4,1024,2,Core i3,15.6,Windows 10,DDR4 SDRAM,34990
Dell,3.4,8,1024,3.1,Core i5,15.6,Linux,DDR SDRAM,48990
Dell,1.68,8,1,1.6,Core i5 8250U,13.3,Windows 10,DDR4,56990
Dell,2.18,4,1024,2,Core i3,15.6,Windows 10,DDR3 SDRAM,33800
Dell,2.65,8,1,3.9,Core i5,14,Windows 10 Professional,DDR4 SDRAM,63810
Dell,2.36,8,2,3.1,Core i5,15.6,Windows 10 with Office 2016,DDR4,64900
Dell,2,8,1,3.1,Core i5,15.6,Windows 10 Home,DDR4,51990
Asus,1.7,4,1024,1.6,Core i5 8250U,15.6,Windows 10,GDDR5,42390
Asus,1.7,8,1024,4,Core i7,15.6,Windows 10,GDDR5,64069
Asus,1.6,8,1024,3.4,Core i5 8250U,15.6,windows 10,DDR4 SDRAM,44098
Asus,1.68,8,1024,3.4,Core i5 8250U,15.6,Windows 10 Home,DDR4,40990
Asus,1.97,8,1024,1.6,Core i5 8250U,15.6,Windows 10,DDR4 SDRAM,54135
Asus,1.68,8,1024,2,Core i3,15.6,Windows 10,DDR4,35245
Asus,1.5,4,1024,3.9,Core i3,15.6,Windows 10,DDR4 SDRAM,33990
